iteration,vehicles,app,baseline,metric,scope_value,baseline_value,baseline_minus_scope
8,300,ALL_APPS,RANDOM,service_time_s,0.7887825461190345,0.3739131764784984,-0.4148693696405361
9,300,ALL_APPS,RANDOM,service_time_s,0.753966267059147,0.3549948729550587,-0.39897139410408833
10,300,ALL_APPS,RANDOM,service_time_s,0.7980611283823035,0.37952767535366105,-0.4185334530286424
1,400,ALL_APPS,EXP3_MC,failure_rate_pct,0.08207963884958906,0.08207963884958906,0.0
2,400,ALL_APPS,EXP3_MC,failure_rate_pct,0.09359397166387236,0.09359397166387236,0.0
3,400,ALL_APPS,EXP3_MC,failure_rate_pct,0.09068889975331126,0.09068889975331126,0.0
4,400,ALL_APPS,EXP3_MC,failure_rate_pct,0.11201817445749794,0.11201817445749794,0.0
5,400,ALL_APPS,EXP3_MC,failure_rate_pct,0.11077425373134328,0.11077425373134328,0.0
6,400,ALL_APPS,EXP3_MC,failure_rate_pct,0.09160419509824083,0.09160419509824083,0.0
7,400,ALL_APPS,EXP3_MC,failure_rate_pct,0.10060854984268139,0.10060854984268139,0.0
8,400,ALL_APPS,EXP3_MC,failure_rate_pct,0.11439458863858962,0.11439458863858962,0.0
9,400,ALL_APPS,EXP3_MC,failure_rate_pct,0.09457187462471478,0.09457187462471478,0.0
10,400,ALL_APPS,EXP3_MC,failure_rate_pct,0.10561667082013125,0.10561667082013125,0.0
1,400,ALL_APPS,EXP3_MC,service_time_s,0.6743459974886118,0.6743459974886118,0.0
2,400,ALL_APPS,EXP3_MC,service_time_s,0.6866348701010114,0.6866348701010114,0.0
3,400,ALL_APPS,EXP3_MC,service_time_s,0.7070649289151116,0.7070649289151116,0.0
4,400,ALL_APPS,EXP3_MC,service_time_s,0.7120722643599625,0.7120722643599625,0.0
5,400,ALL_APPS,EXP3_MC,service_time_s,0.6803050211250088,0.6803050211250088,0.0
6,400,ALL_APPS,EXP3_MC,service_time_s,0.7184034655360156,0.7184034655360156,0.0
7,400,ALL_APPS,EXP3_MC,service_time_s,0.7003941480627365,0.7003941480627365,0.0
8,400,ALL_APPS,EXP3_MC,service_time_s,0.7179058919733573,0.7179058919733573,0.0
9,400,ALL_APPS,EXP3_MC,service_time_s,0.6935938301303248,0.6935938301303248,0.0
10,400,ALL_APPS,EXP3_MC,service_time_s,0.7316852236779073,0.7316852236779073,0.0
1,400,ALL_APPS,RAIDER_TRAX,failure_rate_pct,0.08207963884958906,0.09539751966448873,0.013317880814899666
2,400,ALL_APPS,RAIDER_TRAX,failure_rate_pct,0.09359397166387236,0.09875051125497898,0.005156539591106624
3,400,ALL_APPS,RAIDER_TRAX,failure_rate_pct,0.09068889975331126,0.10113978189635225,0.01045088214304099
4,400,ALL_APPS,RAIDER_TRAX,failure_rate_pct,0.11201817445749794,0.12066376863999749,0.00864559418249955
5,400,ALL_APPS,RAIDER_TRAX,failure_rate_pct,0.11077425373134328,0.12462239777866042,0.013848144047317143
6,400,ALL_APPS,RAIDER_TRAX,failure_rate_pct,0.09160419509824083,0.10319222917648115,0.011588034078240314
7,400,ALL_APPS,RAIDER_TRAX,failure_rate_pct,0.10060854984268139,0.1269886727611181,0.02638012291843672
8,400,ALL_APPS,RAIDER_TRAX,failure_rate_pct,0.11439458863858962,0.11669147157510532,0.0022968829365156984
9,400,ALL_APPS,RAIDER_TRAX,failure_rate_pct,0.09457187462471478,0.1073299608208115,0.012758086196096724
10,400,ALL_APPS,RAIDER_TRAX,failure_rate_pct,0.10561667082013125,0.11708860759493671,0.011471936774805458
1,400,ALL_APPS,RAIDER_TRAX,service_time_s,0.6743459974886118,0.676651634779521,0.002305637290909157
2,400,ALL_APPS,RAIDER_TRAX,service_time_s,0.6866348701010114,0.6885518186547265,0.0019169485537150477
3,400,ALL_APPS,RAIDER_TRAX,service_time_s,0.7070649289151116,0.7069765313088635,-8.83976062481251e-05
4,400,ALL_APPS,RAIDER_TRAX,service_time_s,0.7120722643599625,0.7135187096517429,0.001446445291780396
5,400,ALL_APPS,RAIDER_TRAX,service_time_s,0.6803050211250088,0.6811326621737485,0.000827641048739669
6,400,ALL_APPS,RAIDER_TRAX,service_time_s,0.7184034655360156,0.7183318518013426,-7.161373467301502e-05
7,400,ALL_APPS,RAIDER_TRAX,service_time_s,0.7003941480627365,0.7020046187968568,0.0016104707341203506
8,400,ALL_APPS,RAIDER_TRAX,service_time_s,0.7179058919733573,0.7186453977053314,0.0007395057319741216
9,400,ALL_APPS,RAIDER_TRAX,service_time_s,0.6935938301303248,0.6964124086706701,0.0028185785403452845
10,400,ALL_APPS,RAIDER_TRAX,service_time_s,0.7316852236779073,0.7339910286750748,0.002305804997167482
1,400,ALL_APPS,RANDOM,failure_rate_pct,0.08207963884958906,0.04319561132588929,-0.03888402752369977
2,400,ALL_APPS,RANDOM,failure_rate_pct,0.09359397166387236,0.04421322564956597,-0.049380746014306386
3,400,ALL_APPS,RANDOM,failure_rate_pct,0.09068889975331126,0.04440696181747619,-0.04628193793583507
4,400,ALL_APPS,RANDOM,failure_rate_pct,0.11201817445749794,0.049518958687040183,-0.06249921577045776
5,400,ALL_APPS,RANDOM,failure_rate_pct,0.11077425373134328,0.050645087244360724,-0.060129166486982556
6,400,ALL_APPS,RANDOM,failure_rate_pct,0.09160419509824083,0.04411544788395394,-0.04748874721428689
7,400,ALL_APPS,RANDOM,failure_rate_pct,0.10060854984268139,0.04672228125306144,-0.05388626858961995
8,400,ALL_APPS,RANDOM,failure_rate_pct,0.11439458863858962,0.05623522390800376,-0.058159364730585854
9,400,ALL_APPS,RANDOM,failure_rate_pct,0.09457187462471478,0.04990918779363864,-0.04466268683107614
10,400,ALL_APPS,RANDOM,failure_rate_pct,0.10561667082013125,0.05814344422777991,-0.04747322659235134
