iteration,policy,vehicles,app,completed_tasks,failed_tasks,failure_rate_pct,service_time_s,source
4,RT_OPT_ML,500,ALL_APPS,326280.0,458.0,0.1401734723233906,0.6448177020672291,ite4/SIMRESULT_ITS_SCENARIO_RT_OPT_ML_500DEVICES_ALL_APPS_GENERIC.log
5,RT_OPT_ML,500,ALL_APPS,336337.0,404.0,0.11997351079910079,0.6385847367316312,ite5/SIMRESULT_ITS_SCENARIO_RT_OPT_ML_500DEVICES_ALL_APPS_GENERIC.log
6,RT_OPT_ML,500,ALL_APPS,328064.0,478.0,0.1454912918287464,0.6744114752246734,ite6/SIMRESULT_ITS_SCENARIO_RT_OPT_ML_500DEVICES_ALL_APPS_GENERIC.log
7,RT_OPT_ML,500,ALL_APPS,339426.0,452.0,0.13298889601562913,0.6351714140699833,ite7/SIMRESULT_ITS_SCENARIO_RT_OPT_ML_500DEVICES_ALL_APPS_GENERIC.log
8,RT_OPT_ML,500,ALL_APPS,331365.0,452.0,0.13621966324811569,0.655442799624147,ite8/SIMRESULT_ITS_SCENARIO_RT_OPT_ML_500DEVICES_ALL_APPS_GENERIC.log
9,RT_OPT_ML,500,ALL_APPS,332109.0,465.0,0.13981850655793898,0.6481682227615031,ite9/SIMRESULT_ITS_SCENARIO_RT_OPT_ML_500DEVICES_ALL_APPS_GENERIC.log
10,RT_OPT_ML,500,ALL_APPS,319553.0,476.0,0.14873652075280677,0.6658563779486149,ite10/SIMRESULT_ITS_SCENARIO_RT_OPT_ML_500DEVICES_ALL_APPS_GENERIC.log
1,EXP3_MC,500,ALL_APPS,344591.0,416.0,0.12057726364972304,0.6256461783886722,ite1/SIMRESULT_ITS_SCENARIO_EXP3_MC_500DEVICES_ALL_APPS_GENERIC.log
2,EXP3_MC,500,ALL_APPS,337037.0,431.0,0.12771581305486743,0.6382908249157371,ite2/SIMRESULT_ITS_SCENARIO_EXP3_MC_500DEVICES_ALL_APPS_GENERIC.log
3,EXP3_MC,500,ALL_APPS,330269.0,452.0,0.13667109134285393,0.6623345540518965,ite3/SIMRESULT_ITS_SCENARIO_EXP3_MC_500DEVICES_ALL_APPS_GENERIC.log
4,EXP3_MC,500,ALL_APPS,326280.0,458.0,0.1401734723233906,0.6448177020672291,ite4/SIMRESULT_ITS_SCENARIO_EXP3_MC_500DEVICES_ALL_APPS_GENERIC.log
5,EXP3_MC,500,ALL_APPS,336337.0,404.0,0.11997351079910079,0.6385847367316312,ite5/SIMRESULT_ITS_SCENARIO_EXP3_MC_500DEVICES_ALL_APPS_GENERIC.log
6,EXP3_MC,500,ALL_APPS,328064.0,478.0,0.1454912918287464,0.6744114752246734,ite6/SIMRESULT_ITS_SCENARIO_EXP3_MC_500DEVICES_ALL_APPS_GENERIC.log
7,EXP3_MC,500,ALL_APPS,339426.0,452.0,0.13298889601562913,0.6351714140699833,ite7/SIMRESULT_ITS_SCENARIO_EXP3_MC_500DEVICES_ALL_APPS_GENERIC.log
8,EXP3_MC,500,ALL_APPS,331365.0,452.0,0.13621966324811569,0.655442799624147,ite8/SIMRESULT_ITS_SCENARIO_EXP3_MC_500DEVICES_ALL_APPS_GENERIC.log
9,EXP3_MC,500,ALL_APPS,332109.0,465.0,0.13981850655793898,0.6481682227615031,ite9/SIMRESULT_ITS_SCENARIO_EXP3_MC_500DEVICES_ALL_APPS_GENERIC.log
10,EXP3_MC,500,ALL_APPS,319553.0,476.0,0.14873652075280677,0.6658563779486149,ite10/SIMRESULT_ITS_SCENARIO_EXP3_MC_500DEVICES_ALL_APPS_GENERIC.log
1,RAIDER_TRAX,500,ALL_APPS,344576.0,444.0,0.12868819198887022,0.6269898731455223,ite1/SIMRESULT_ITS_SCENARIO_RAIDER_TRAX_500DEVICES_ALL_APPS_GENERIC.log
2,RAIDER_TRAX,500,ALL_APPS,337033.0,429.0,0.12712542449223913,0.6392120957457699,ite2/SIMRESULT_ITS_SCENARIO_RAIDER_TRAX_500DEVICES_ALL_APPS_GENERIC.log
3,RAIDER_TRAX,500,ALL_APPS,330240.0,485.0,0.14664751681910954,0.6623186894210098,ite3/SIMRESULT_ITS_SCENARIO_RAIDER_TRAX_500DEVICES_ALL_APPS_GENERIC.log
4,RAIDER_TRAX,500,ALL_APPS,326260.0,478.0,0.14629458465192294,0.6462358230143448,ite4/SIMRESULT_ITS_SCENARIO_RAIDER_TRAX_500DEVICES_ALL_APPS_GENERIC.log
5,RAIDER_TRAX,500,ALL_APPS,336281.0,466.0,0.1383828215247649,0.6400317992357352,ite5/SIMRESULT_ITS_SCENARIO_RAIDER_TRAX_500DEVICES_ALL_APPS_GENERIC.log
6,RAIDER_TRAX,500,ALL_APPS,328019.0,522.0,0.15888427928325535,0.6742699395186412,ite6/SIMRESULT_ITS_SCENARIO_RAIDER_TRAX_500DEVICES_ALL_APPS_GENERIC.log
7,RAIDER_TRAX,500,ALL_APPS,339400.0,476.0,0.14005107745177653,0.6368452642554411,ite7/SIMRESULT_ITS_SCENARIO_RAIDER_TRAX_500DEVICES_ALL_APPS_GENERIC.log
8,RAIDER_TRAX,500,ALL_APPS,331300.0,510.0,0.15370242005967272,0.6563625635455447,ite8/SIMRESULT_ITS_SCENARIO_RAIDER_TRAX_500DEVICES_ALL_APPS_GENERIC.log
9,RAIDER_TRAX,500,ALL_APPS,332080.0,493.0,0.14823813117721524,0.6479799691575362,ite9/SIMRESULT_ITS_SCENARIO_RAIDER_TRAX_500DEVICES_ALL_APPS_GENERIC.log
10,RAIDER_TRAX,500,ALL_APPS,319467.0,558.0,0.1743613780173424,0.6672099488361267,ite10/SIMRESULT_ITS_SCENARIO_RAIDER_TRAX_500DEVICES_ALL_APPS_GENERIC.log
1,RANDOM,500,ALL_APPS,344890.0,153.0,0.04434229936558632,0.35224638836424765,ite1/SIMRESULT_ITS_SCENARIO_RANDOM_500DEVICES_ALL_APPS_GENERIC.log
2,RANDOM,500,ALL_APPS,337354.0,142.0,0.042074572735676864,0.3613208201879093,ite2/SIMRESULT_ITS_SCENARIO_RANDOM_500DEVICES_ALL_APPS_GENERIC.log
3,RANDOM,500,ALL_APPS,330604.0,156.0,0.047164106905308985,0.37743522687186215,ite3/SIMRESULT_ITS_SCENARIO_RANDOM_500DEVICES_ALL_APPS_GENERIC.log
4,RANDOM,500,ALL_APPS,326575.0,179.0,0.05478127276177185,0.3662540018672849,ite4/SIMRESULT_ITS_SCENARIO_RANDOM_500DEVICES_ALL_APPS_GENERIC.log
5,RANDOM,500,ALL_APPS,336616.0,147.0,0.04365087613544243,0.36224078426290957,ite5/SIMRESULT_ITS_SCENARIO_RANDOM_500DEVICES_ALL_APPS_GENERIC.log
6,RANDOM,500,ALL_APPS,328407.0,155.0,0.04717526676852466,0.38631443099264456,ite6/SIMRESULT_ITS_SCENARIO_RANDOM_500DEVICES_ALL_APPS_GENERIC.log
7,RANDOM,500,ALL_APPS,339764.0,149.0,0.04383474594969889,0.3589097975974638,ite7/SIMRESULT_ITS_SCENARIO_RANDOM_500DEVICES_ALL_APPS_GENERIC.log
8,RANDOM,500,ALL_APPS,331682.0,164.0,0.049420514334962605,0.3722767087056751,ite8/SIMRESULT_ITS_SCENARIO_RANDOM_500DEVICES_ALL_APPS_GENERIC.log
9,RANDOM,500,ALL_APPS,332436.0,165.0,0.049608990953124016,0.36616501624078035,ite9/SIMRESULT_ITS_SCENARIO_RANDOM_500DEVICES_ALL_APPS_GENERIC.log
10,RANDOM,500,ALL_APPS,319915.0,145.0,0.045304005498968944,0.3781094883409062,ite10/SIMRESULT_ITS_SCENARIO_RANDOM_500DEVICES_ALL_APPS_GENERIC.log
1,RT_OPT_ML,600,ALL_APPS,408549.0,670.0,0.16372651318731535,0.5986196601075842,ite1/SIMRESULT_ITS_SCENARIO_RT_OPT_ML_600DEVICES_ALL_APPS_GENERIC.log
2,RT_OPT_ML,600,ALL_APPS,405105.0,697.0,0.17175864091354898,0.604499729635056,ite2/SIMRESULT_ITS_SCENARIO_RT_OPT_ML_600DEVICES_ALL_APPS_GENERIC.log
3,RT_OPT_ML,600,ALL_APPS,398959.0,702.0,0.17564886241089323,0.617522250213686,ite3/SIMRESULT_ITS_SCENARIO_RT_OPT_ML_600DEVICES_ALL_APPS_GENERIC.log
4,RT_OPT_ML,600,ALL_APPS,393047.0,736.0,0.18690497050405935,0.6060636517831829,ite4/SIMRESULT_ITS_SCENARIO_RT_OPT_ML_600DEVICES_ALL_APPS_GENERIC.log
5,RT_OPT_ML,600,ALL_APPS,401379.0,679.0,0.16888110670599765,0.6087906815459636,ite5/SIMRESULT_ITS_SCENARIO_RT_OPT_ML_600DEVICES_ALL_APPS_GENERIC.log
6,RT_OPT_ML,600,ALL_APPS,393346.0,789.0,0.20018521572557627,0.6371965469977958,ite6/SIMRESULT_ITS_SCENARIO_RT_OPT_ML_600DEVICES_ALL_APPS_GENERIC.log
7,RT_OPT_ML,600,ALL_APPS,402688.0,647.0,0.16041256027867654,0.6025954612393103,ite7/SIMRESULT_ITS_SCENARIO_RT_OPT_ML_600DEVICES_ALL_APPS_GENERIC.log
8,RT_OPT_ML,600,ALL_APPS,400936.0,709.0,0.17652404486549067,0.6138333903801371,ite8/SIMRESULT_ITS_SCENARIO_RT_OPT_ML_600DEVICES_ALL_APPS_GENERIC.log
9,RT_OPT_ML,600,ALL_APPS,398927.0,721.0,0.18040875970854353,0.6117957565106685,ite9/SIMRESULT_ITS_SCENARIO_RT_OPT_ML_600DEVICES_ALL_APPS_GENERIC.log
10,RT_OPT_ML,600,ALL_APPS,385185.0,772.0,0.20002228227496846,0.6307042140318353,ite10/SIMRESULT_ITS_SCENARIO_RT_OPT_ML_600DEVICES_ALL_APPS_GENERIC.log
1,EXP3_MC,600,ALL_APPS,408549.0,670.0,0.16372651318731535,0.5986196601075842,ite1/SIMRESULT_ITS_SCENARIO_EXP3_MC_600DEVICES_ALL_APPS_GENERIC.log
2,EXP3_MC,600,ALL_APPS,405105.0,697.0,0.17175864091354898,0.604499729635056,ite2/SIMRESULT_ITS_SCENARIO_EXP3_MC_600DEVICES_ALL_APPS_GENERIC.log
3,EXP3_MC,600,ALL_APPS,398959.0,702.0,0.17564886241089323,0.617522250213686,ite3/SIMRESULT_ITS_SCENARIO_EXP3_MC_600DEVICES_ALL_APPS_GENERIC.log
4,EXP3_MC,600,ALL_APPS,393047.0,736.0,0.18690497050405935,0.6060636517831829,ite4/SIMRESULT_ITS_SCENARIO_EXP3_MC_600DEVICES_ALL_APPS_GENERIC.log
5,EXP3_MC,600,ALL_APPS,401379.0,679.0,0.16888110670599765,0.6087906815459636,ite5/SIMRESULT_ITS_SCENARIO_EXP3_MC_600DEVICES_ALL_APPS_GENERIC.log
6,EXP3_MC,600,ALL_APPS,393346.0,789.0,0.20018521572557627,0.6371965469977958,ite6/SIMRESULT_ITS_SCENARIO_EXP3_MC_600DEVICES_ALL_APPS_GENERIC.log
7,EXP3_MC,600,ALL_APPS,402688.0,647.0,0.16041256027867654,0.6025954612393103,ite7/SIMRESULT_ITS_SCENARIO_EXP3_MC_600DEVICES_ALL_APPS_GENERIC.log
8,EXP3_MC,600,ALL_APPS,400936.0,709.0,0.17652404486549067,0.6138333903801371,ite8/SIMRESULT_ITS_SCENARIO_EXP3_MC_600DEVICES_ALL_APPS_GENERIC.log
9,EXP3_MC,600,ALL_APPS,398927.0,721.0,0.18040875970854353,0.6117957565106685,ite9/SIMRESULT_ITS_SCENARIO_EXP3_MC_600DEVICES_ALL_APPS_GENERIC.log
10,EXP3_MC,600,ALL_APPS,385185.0,772.0,0.20002228227496846,0.6307042140318353,ite10/SIMRESULT_ITS_SCENARIO_EXP3_MC_600DEVICES_ALL_APPS_GENERIC.log
1,RAIDER_TRAX,600,ALL_APPS,408536.0,695.0,0.1698307312984598,0.5980312878460374,ite1/SIMRESULT_ITS_SCENARIO_RAIDER_TRAX_600DEVICES_ALL_APPS_GENERIC.log
2,RAIDER_TRAX,600,ALL_APPS,405028.0,774.0,0.19073341186095683,0.6048815056728601,ite2/SIMRESULT_ITS_SCENARIO_RAIDER_TRAX_600DEVICES_ALL_APPS_GENERIC.log
3,RAIDER_TRAX,600,ALL_APPS,398912.0,758.0,0.18965646658493257,0.6179394544532336,ite3/SIMRESULT_ITS_SCENARIO_RAIDER_TRAX_600DEVICES_ALL_APPS_GENERIC.log
4,RAIDER_TRAX,600,ALL_APPS,392989.0,797.0,0.2023941938006938,0.6053600980155694,ite4/SIMRESULT_ITS_SCENARIO_RAIDER_TRAX_600DEVICES_ALL_APPS_GENERIC.log
5,RAIDER_TRAX,600,ALL_APPS,401279.0,787.0,0.19573900802355831,0.6088099247688434,ite5/SIMRESULT_ITS_SCENARIO_RAIDER_TRAX_600DEVICES_ALL_APPS_GENERIC.log
