vehicles,app,baseline,metric,n_pairs,n_nonzero,scope_mean,scope_sd,baseline_mean,baseline_sd,mean_improvement,ci95_low,ci95_high,rank_biserial,wilcoxon_W,p_raw,p_holm,significant_holm_005
700,ALL_APPS,RAIDER_TRAX,service_time_s,10,10,0.5881561057831061,0.008975129804118541,0.5873063060223676,0.008363885120648742,-0.0008497997607384234,-0.0015687762584548032,-0.00018345146945036506,-0.7090909090909091,8.0,0.048828125,1.0,False
700,ALL_APPS,RANDOM,failure_rate_pct,10,10,0.2336916018820136,0.016153595698524335,0.07144306569780695,0.009554043517017895,-0.16224853618420665,-0.17376514698779066,-0.14984398169591645,-1.0,0.0,0.001953125,0.2109375,False
700,ALL_APPS,RANDOM,service_time_s,10,10,0.5881561057831061,0.008975129804118541,0.3768469506157782,0.007788493531093882,-0.2113091551673278,-0.21229816990890277,-0.2103649957052893,-1.0,0.0,0.001953125,0.2109375,False
800,ALL_APPS,EXP3_MC,failure_rate_pct,10,0,0.29161749485671595,0.014912932587816428,0.29161749485671595,0.014912932587816428,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
800,ALL_APPS,EXP3_MC,service_time_s,10,0,0.5670201874403098,0.007892393417363927,0.5670201874403098,0.007892393417363927,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
800,ALL_APPS,RAIDER_TRAX,failure_rate_pct,10,10,0.29161749485671595,0.014912932587816428,0.3134999530494442,0.015718404507094202,0.021882458192728264,0.016210836619377153,0.027497835929211657,1.0,0.0,0.001953125,0.2109375,False
800,ALL_APPS,RAIDER_TRAX,service_time_s,10,10,0.5670201874403098,0.007892393417363927,0.5653576527329732,0.00724251102938069,-0.0016625347073364715,-0.0023698334383831007,-0.0009300124450334124,-0.9636363636363636,1.0,0.00390625,0.2109375,False
800,ALL_APPS,RANDOM,failure_rate_pct,10,10,0.29161749485671595,0.014912932587816428,0.22554838663760748,0.041859691836492637,-0.06606910821910845,-0.09211039273632744,-0.0399373333356432,-0.9636363636363636,1.0,0.00390625,0.2109375,False
800,ALL_APPS,RANDOM,service_time_s,10,10,0.5670201874403098,0.007892393417363927,0.3846230041089746,0.008432853479365388,-0.18239718333133506,-0.18318107228899558,-0.18159222384835622,-1.0,0.0,0.001953125,0.2109375,False
900,ALL_APPS,EXP3_MC,failure_rate_pct,10,0,0.35033762983974076,0.011114151932923684,0.35033762983974076,0.011114151932923684,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
900,ALL_APPS,EXP3_MC,service_time_s,10,0,0.5482912442268308,0.0062573095499289435,0.5482912442268308,0.0062573095499289435,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
900,ALL_APPS,RAIDER_TRAX,failure_rate_pct,10,10,0.35033762983974076,0.011114151932923684,0.3817255112306663,0.014490222718234906,0.03138788139092556,0.025486150539726454,0.03710350671166417,1.0,0.0,0.001953125,0.2109375,False
900,ALL_APPS,RAIDER_TRAX,service_time_s,10,10,0.5482912442268308,0.0062573095499289435,0.5463545216853649,0.0062470268307236445,-0.0019367225414659516,-0.002515770880847634,-0.0013211698697538049,-1.0,0.0,0.001953125,0.2109375,False
900,ALL_APPS,RANDOM,failure_rate_pct,10,10,0.35033762983974076,0.011114151932923684,0.98496537652805,0.051814938849245325,0.6346277466883092,0.6025968913292458,0.6715680569256016,1.0,0.0,0.001953125,0.2109375,False
900,ALL_APPS,RANDOM,service_time_s,10,10,0.5482912442268308,0.0062573095499289435,0.39785609874346817,0.007119586006760451,-0.15043514548336265,-0.1514163481534758,-0.1495133908100448,-1.0,0.0,0.001953125,0.2109375,False
1000,ALL_APPS,EXP3_MC,failure_rate_pct,10,0,0.46852654795891774,0.023643528515205885,0.46852654795891774,0.023643528515205885,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
1000,ALL_APPS,EXP3_MC,service_time_s,10,0,0.5354033449638576,0.00653993924621296,0.5354033449638576,0.00653993924621296,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
1000,ALL_APPS,RAIDER_TRAX,failure_rate_pct,10,10,0.46852654795891774,0.023643528515205885,0.4940117075455369,0.0280379850344386,0.025485159586619233,0.011236145385481112,0.03769205929905893,0.8181818181818182,5.0,0.01953125,0.64453125,False
